,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timeperiod
56917,PG792_text.txt,"Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden",1771.0,1810.0,['en'],549.0,"{'Religious fanaticism -- Fiction', 'Combustion, Spontaneous -- Fiction', 'Brothers and sisters -- Fiction', 'Radicals -- Fiction', 'Fathers -- Death -- Fiction', 'Pennsylvania -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'Psychological fiction', 'Epistolary fiction', 'Gothic fiction', 'Horror tales'}",Text,0,1798,27.0,1
12665,PG213_text.txt,The Man from Snowy River,"Paterson, A. B. (Andrew Barton)",1864.0,1941.0,['en'],548.0,{'Frontier and pioneer life -- Australia -- Poetry'},Text,5,1895,31.0,1
4955,PG14460_text.txt,"Faust; a Tragedy, Translated from the German of Goethe","Goethe, Johann Wolfgang von",1749.0,1832.0,['en'],542.0,"{'German poetry -- Translations into English', 'Legends -- Germany -- Drama', 'Magicians -- Drama', 'Faust, -approximately 1540 -- Drama'}",Text,2,1828,79.0,4
55984,PG708_text.txt,The Princess and the Goblin,"MacDonald, George",1824.0,1905.0,['en'],540.0,"{'Goblins -- Juvenile fiction', 'Fantasy literature', 'Princesses -- Juvenile fiction', ""Children's stories"", 'Fairy tales'}",Text,4,1872,48.0,2
58151,PG903_text.txt,The White Company,"Doyle, Arthur Conan",1859.0,1930.0,['en'],536.0,"{'British -- France -- Fiction', 'Knights and knighthood -- Fiction', 'War stories', 'Middle Ages -- Fiction', 'Archers -- Fiction', 'Historical fiction', ""Hundred Years' War, 1339-1453 -- Fiction""}",Text,5,1891,32.0,1
31518,PG3836_text.txt,Swiss Family Robinson,"Wyss, Johann David",1743.0,1818.0,['en'],527.0,"{'Survival -- Fiction', 'Family life -- Fiction', 'Islands -- Fiction'}",Text,1,1812,69.0,4
18598,PG26740_text.txt,The Picture of Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['en'],526.0,"{'Paranormal fiction', 'Appearance (Philosophy) -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'Conduct of life -- Fiction', 'Supernatural -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Portraits -- Fiction', 'Didactic fiction'}",Text,5,1890,36.0,2
58606,PG944_text.txt,The Voyage of the Beagle,"Darwin, Charles",1809.0,1882.0,['en'],526.0,"{'Voyages around the world -- History -- 19th century', 'Natural history', 'South America -- Discovery and exploration', 'Geology', 'Beagle Expedition (1831-1836)'}",Text,2,1836,27.0,1
14186,PG2276_text.txt,The Private Memoirs and Confessions of a Justified Sinner,"Hogg, James",1770.0,1835.0,['en'],519.0,"{'Scotland -- Fiction', 'Psychological fiction', 'Murderers -- Fiction'}",Text,2,1824,54.0,3
45330,PG507_text.txt,Adam Bede,"Eliot, George",1819.0,1880.0,['en'],517.0,"{'Carpenters -- Fiction', 'England -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Infanticide -- Fiction', 'Women clergy -- Fiction', 'Didactic fiction'}",Text,3,1859,40.0,2
28925,PG36034_text.txt,"White Nights and Other Stories: The Novels of Fyodor Dostoevsky, Volume X","Dostoyevsky, Fyodor",1821.0,1881.0,['en'],501.0,"{'Russian fiction -- Translations into English', 'Dostoyevsky, Fyodor, 1821-1881 -- Translations into English'}",Text,4,1866,45.0,2
13152,PG21839_text.txt,Sense and Sensibility,"Austen, Jane",1775.0,1817.0,['en'],493.0,"{'England -- Social life and customs -- 19th century -- Fiction', 'Mate selection -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Domestic fiction', 'Gentry -- England -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Inheritance and succession -- Fiction', 'Regency fiction', 'Social classes -- Fiction'}",Text,1,1811,36.0,2
41818,PG4763_text.txt,The Game of Logic,"Carroll, Lewis",1832.0,1898.0,['en'],493.0,"{'Logic -- Juvenile literature', 'Logic, Symbolic and mathematical'}",Text,5,1897,65.0,4
37252,PG4352_text.txt,Laughter: An Essay on the Meaning of the Comic,"Bergson, Henri",1859.0,1941.0,['en'],487.0,"{'Philosophy, French', 'Laughter', 'Comedy'}",Text,5,1900,41.0,2
24330,PG3189_text.txt,Sketches New and Old,"Twain, Mark",1835.0,1910.0,['en'],482.0,"{'Humorous stories, American', 'United States -- Social life and customs -- Fiction'}",Text,4,1875,40.0,2
54581,PG59127_text.txt,"A Memoir of Robert Blincoe, an Orphan Boy","Brown, John",1810.0,1882.0,['en'],482.0,set(),Text,2,1832,22.0,0
45620,PG51060_text.txt,"The Narrative of Arthur Gordon Pym of Nantucket: Comprising the details of a mutiny and atrocious butchery on board the American brig Grampus, on her way to the South Seas, in the month of June, 1827.","Poe, Edgar Allan",1809.0,1849.0,['en'],480.0,"{'Stowaways -- Fiction', 'Young men -- Fiction', 'Sea stories', 'Whaling ships -- Fiction'}",Text,2,1838,29.0,1
8116,PG17306_text.txt,The Condition of the Working-Class in England in 1844: with a Preface written in 1892,"Engels, Friedrich",1820.0,1895.0,['en'],479.0,"{'Working class -- Great Britain', 'Great Britain -- Economic conditions'}",Text,3,1842,22.0,0
49207,PG5428_text.txt,A Defence of Poetry and Other Essays,"Shelley, Percy Bysshe",1792.0,1822.0,['en'],475.0,"{'English essays', 'Poetry'}",Text,2,1840,48.0,2
47679,PG52914_text.txt,The Will to Power: An Attempted Transvaluation of All Values. Book I and II,"Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],473.0,"{'Power (Philosophy)', 'Values', 'Nihilism (Philosophy)'}",Text,5,1888,44.0,2
55772,PG689_text.txt,The Kreutzer Sonata and Other Stories,"Tolstoy, Leo, graf",1828.0,1910.0,['en'],471.0,"{'Murder -- Fiction', 'Tolstoy, Leo, graf, 1828-1910 -- Translations into English', 'Jealousy -- Fiction', 'Russia -- Social life and customs -- Fiction', 'Short stories'}",Text,5,1889,61.0,3
54833,PG6053_text.txt,"Evelina, Or, the History of a Young Lady's Entrance into the World","Burney, Fanny",1752.0,1840.0,['en'],466.0,"{'Bildungsromans', 'Debutantes -- Fiction', 'London (England) -- Fiction', 'Young women -- Fiction', 'Love stories', 'Satire', 'Socialites -- Fiction', 'Epistolary fiction', 'Humorous stories'}",Text,0,1778,26.0,1
12820,PG2153_text.txt,Mary Barton,"Gaskell, Elizabeth Cleghorn",1810.0,1865.0,['en'],464.0,"{'Textile industry -- Fiction', 'Fathers and daughters -- Fiction', 'Trials (Murder) -- Fiction', 'Domestic fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Poor families -- Fiction', 'Manchester (England) -- Fiction', 'Labor unions -- Fiction', 'Political fiction', 'Working class women -- Fiction'}",Text,3,1842,32.0,1
40451,PG46409_text.txt,Heidi,"Spyri, Johanna",1827.0,1901.0,['en'],464.0,"{'Orphans -- Fiction', 'Grandfathers -- Fiction', 'Mountain life -- Switzerland -- Fiction', 'Switzerland -- History -- 19th century -- Fiction'}",Text,5,1881,54.0,3
20830,PG2874_text.txt,Personal Recollections of Joan of Arc — Volume 1,"Twain, Mark",1835.0,1910.0,['en'],460.0,"{'Christian women saints -- Fiction', 'France -- History -- Charles VII, 1422-1461 -- Fiction', 'Joan, of Arc, Saint, 1412-1431 -- Fiction', 'Biographical fiction'}",Text,5,1896,61.0,3
7998,PG171_text.txt,Charlotte Temple,"Rowson, Mrs.",1762.0,1824.0,['en'],457.0,"{'Runaway teenagers -- Fiction', 'Soldiers -- Fiction', 'Elopement -- Fiction', 'Teenage girls -- Fiction', 'Illegitimate children -- Fiction', 'British -- New York (State) -- New York -- Fiction', 'New York (N.Y.) -- Fiction', 'Psychological fiction', 'Teenage pregnancy -- Fiction', 'Seduction -- Fiction', 'Betrayal -- Fiction', 'Didactic fiction'}",Text,0,1794,32.0,1
9998,PG18_text.txt,The Federalist Papers,"Hamilton, Alexander",1757.0,1804.0,['en'],456.0,"{'Constitutional law -- United States', 'Constitutional history -- United States -- Sources'}",Text,0,1788,31.0,1
721,PG1064_text.txt,The Masque of the Red Death,"Poe, Edgar Allan",1809.0,1849.0,['en'],455.0,"{'Horror tales, American'}",Text,3,1842,33.0,1
28075,PG3526_text.txt,"Five Weeks in a Balloon: Or, Journeys and Discoveries in Africa by Three Englishmen","Verne, Jules",1828.0,1905.0,['en'],453.0,"{'Travel -- Fiction', 'Science fiction', 'Africa -- Fiction', 'Adventure stories', 'Balloons -- Fiction'}",Text,4,1863,35.0,2
23059,PG30755_text.txt,"The Stones of Venice, Volume 2 (of 3),","Ruskin, John",1819.0,1900.0,['en'],452.0,{'Architecture -- Italy -- Venice'},Text,3,1853,34.0,1
58506,PG935_text.txt,Self Help; with Illustrations of Conduct and Perseverance,"Smiles, Samuel",1812.0,1904.0,['en'],447.0,{'Conduct of life'},Text,4,1866,54.0,3
41128,PG47018_text.txt,"A Dictionary of Slang, Cant, and Vulgar Words: Used at the Present Day in the Streets of London; the Universities of Oxford and Cambridge; the Houses of Parliament; the Dens of St. Giles; and the Palaces of St. James.","Hotten, John Camden",1832.0,1873.0,['en'],446.0,"{'Cant -- England -- London -- Dictionaries', 'Oxford (England) -- Languages -- Dictionaries', 'English language -- Dialects -- England -- London -- Glossaries, vocabularies, etc.', 'Cambridge (England) -- Languages -- Dictionaries', 'English language -- England -- London -- Slang -- Dictionaries', 'Cant -- Dictionaries', 'London (England) -- Languages -- Dictionaries'}",Text,3,1859,27.0,1
38441,PG445_text.txt,The Crowd: A Study of the Popular Mind,"Le Bon, Gustave",1841.0,1931.0,['en'],444.0,{'Crowds'},Text,5,1895,54.0,3
45077,PG50572_text.txt,Goethe's Theory of Colours,"Goethe, Johann Wolfgang von",1749.0,1832.0,['en'],443.0,{'Color'},Text,2,1840,91.0,4
37613,PG43855_text.txt,"Franklin's Way to Wealth; or, ""Poor Richard Improved""","Franklin, Benjamin",1706.0,1790.0,['en'],442.0,"{'Maxims, American', 'Success'}",Text,0,1767,61.0,3
47019,PG5231_text.txt,The Way We Live Now,"Trollope, Anthony",1815.0,1882.0,['en'],438.0,"{'Mate selection -- Fiction', 'Capitalists and financiers -- Fiction', 'London (England) -- Fiction', 'Satire', 'Commercial crimes -- Fiction'}",Text,4,1875,60.0,3
58262,PG913_text.txt,A Hero of Our Time,"Lermontov, Mikhail Iurevich",1814.0,1841.0,['en'],435.0,"{'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Russia -- History, Military -- 1801-1917 -- Fiction', 'Psychological fiction', 'Caucasus -- Fiction'}",Text,3,1841,27.0,1
51104,PG55998_text.txt,London Labour and the London Poor (Vol. 1 of 4),"Mayhew, Henry",1812.0,1887.0,['en'],435.0,"{'Poor -- England -- London', 'Working class -- England -- London', 'London (England) -- Social conditions', 'Charities -- England -- London', 'Criminals -- England -- London', 'Prostitution -- England -- London', 'Unemployed -- England -- London'}",Text,4,1861,49.0,2
57664,PG8601_text.txt,The Early Poems of Alfred Lord Tennyson,"Tennyson, Alfred Tennyson, Baron",1809.0,1892.0,['en'],428.0,{'English poetry -- 19th century'},Text,2,1830,21.0,0
57917,PG882_text.txt,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People","Dickens, Charles",1812.0,1870.0,['en'],427.0,"{'London (England) -- Social life and customs -- 19th century -- Fiction', 'London (England) -- Social life and customs -- 19th century'}",Text,2,1839,27.0,1
4011,PG13610_text.txt,"Studies in the Psychology of Sex, Volume 1: The Evolution of Modesty; The Phenomena of Sexual Periodicity; Auto-Erotism","Ellis, Havelock",1859.0,1939.0,['en'],424.0,"{'Sex', 'Sex (Psychology)'}",Text,5,1896,37.0,2
1141,PG11027_text.txt,Grimm's Fairy Stories,"Grimm, Jacob",1785.0,1863.0,['en'],424.0,"{'Fairy tales -- Germany', 'Fairy tales'}",Text,3,1857,72.0,4
30115,PG37106_text.txt,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1832.0,1888.0,['en'],415.0,"{'Bildungsromans', 'Mothers and daughters -- Fiction', 'Domestic fiction', 'Young women -- Fiction', 'New England -- Fiction', 'Family life -- New England -- Fiction', 'March family (Fictitious characters) -- Fiction', 'Sisters -- Fiction', 'Autobiographical fiction'}",Text,4,1869,37.0,2
35,PG10031_text.txt,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],415.0,"{'Fantasy poetry, American'}",Text,2,1829,20.0,0
16679,PG25012_text.txt,"The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.","Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],412.0,"{'Literature -- Collections', 'Essays', 'Music -- History and criticism', 'Wagner, Richard, 1813-1883'}",Text,4,1874,30.0,1
19064,PG2715_text.txt,The Real Thing and Other Tales,"James, Henry",1843.0,1916.0,['en'],401.0,"{'Married people -- Fiction', ""Artists' models -- Fiction"", 'Great Britain -- Social life and customs -- 19th century -- Fiction', 'Artists -- Fiction', 'Social classes -- Fiction', 'Short stories'}",Text,5,1892,49.0,2
16552,PG2489_text.txt,"Moby Dick; Or, The Whale","Melville, Herman",1819.0,1891.0,['en'],393.0,"{'Mentally ill -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Whaling -- Fiction', 'Whaling ships -- Fiction', 'Psychological fiction', 'Adventure stories', 'Sea stories', 'Whales -- Fiction', 'Ship captains -- Fiction'}",Text,3,1850,31.0,1
30485,PG3743_text.txt,The Writings of Thomas Paine — Volume 4 (1794-1796): The Age of Reason,"Paine, Thomas",1737.0,1809.0,['en'],392.0,"{'Rationalism', 'Philosophy and religion', 'Political science'}",Text,1,1807,70.0,4
42218,PG479_text.txt,Little Lord Fauntleroy,"Burnett, Frances Hodgson",1849.0,1924.0,['en'],391.0,"{'Altruism -- Juvenile fiction', 'Wealth -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Family -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'England -- Juvenile fiction', 'Mother and child -- Juvenile fiction', 'Grandfathers -- Juvenile fiction', 'Grandparent and child -- Juvenile fiction'}",Text,5,1888,39.0,2
56639,PG767_text.txt,Agnes Grey,"Brontë, Anne",1820.0,1849.0,['en'],391.0,"{'England -- Fiction', 'Feminist fiction', 'Governesses -- Fiction', 'Single women -- Fiction', 'Autobiographical fiction'}",Text,3,1850,30.0,1
11232,PG2010_text.txt,The Autobiography of Charles Darwin,"Darwin, Charles",1809.0,1882.0,['en'],388.0,"{'Darwin, Charles, 1809-1882', 'Darwin, Charles, 1809-1882. On the origin of species', 'Naturalists -- Great Britain -- Biography'}",Text,5,1882,73.0,4
49801,PG54824_text.txt,"The Secret Doctrine, Vol. 1 of 4","Blavatsky, H. P. (Helena Petrovna)",1831.0,1891.0,['en'],388.0,{'Theosophy'},Text,5,1888,57.0,3
27774,PG3499_text.txt,Jo's Boys,"Alcott, Louisa May",1832.0,1888.0,['en'],386.0,"{'Schools -- Fiction', 'Family life -- New England -- Fiction', 'New England -- Fiction', 'Boarding schools -- Fiction'}",Text,5,1886,54.0,3
38604,PG44747_text.txt,The Red and the Black: A Chronicle of 1830,Stendhal,1783.0,1842.0,['en'],385.0,"{'Bildungsromans', 'Young men -- France -- Fiction', 'Church and state -- Fiction', 'Ambition -- Fiction', 'France -- Fiction'}",Text,2,1830,47.0,2
5343,PG1480_text.txt,Tom Brown's School Days,"Hughes, Thomas",1822.0,1896.0,['en'],383.0,"{'Bildungsromans', 'Schools -- Fiction', 'England -- Fiction', 'Endowed public schools (Great Britain) -- Fiction', 'Rugby School -- Fiction', 'Boys -- Fiction'}",Text,3,1842,20.0,0
55642,PG6782_text.txt,The Robbers,"Schiller, Friedrich",1759.0,1805.0,['en'],381.0,{'Drama'},Text,0,1782,23.0,0
791,PG10712_text.txt,"White Jacket; Or, The World on a Man-of-War","Melville, Herman",1819.0,1891.0,['en'],381.0,"{'Naval discipline -- Fiction', 'Sailors -- Fiction', 'Warships -- Fiction', 'United States -- History, Naval -- 19th century -- Fiction', 'Sea stories', 'Flagellation -- Fiction'}",Text,3,1850,31.0,1
14918,PG23428_text.txt,The Conquest of Bread,"Kropotkin, Petr Alekseevich, kniaz",1842.0,1921.0,['en'],380.0,"{'Communism', 'Anarchism'}",Text,5,1894,52.0,3
12443,PG211_text.txt,The Aspern Papers,"James, Henry",1843.0,1916.0,['en'],379.0,"{'Venice (Italy) -- Fiction', 'Poets -- Fiction', 'Man-woman relationships -- Fiction', 'Psychological fiction', 'Manuscripts -- Collectors and collecting -- Fiction'}",Text,5,1888,45.0,2
40030,PG4602_text.txt,"""The Kingdom of God Is Within You"": Christianity Not as a Mystic Religion but as a New Theory of Life","Tolstoy, Leo, graf",1828.0,1910.0,['en'],371.0,"{'Christianity -- Essence, genius, nature', 'Government, Resistance to -- Religious aspects -- Christianity', 'Christianity -- Controversial literature', 'Nonviolence -- Religious aspects -- Christianity', 'Evil, Non-resistance to'}",Text,5,1894,66.0,4
4803,PG14323_text.txt,Là-bas,"Huysmans, J.-K. (Joris-Karl)",1848.0,1907.0,['en'],370.0,"{'Paranormal fiction', 'Rais, Gilles de, 1404-1440 -- Fiction', 'France -- History -- 15th century -- Fiction', 'Erotic stories', 'Satanism -- Fiction'}",Text,5,1891,43.0,2
4910,PG1441_text.txt,The Story of an African Farm,"Schreiner, Olive",1855.0,1920.0,['en'],369.0,"{'Bildungsromans', 'Farm life -- Fiction', 'Feminists -- Fiction', 'Young women -- Fiction', 'Africa, Southern -- Fiction', 'Historical fiction'}",Text,5,1883,28.0,1
27822,PG35041_text.txt,"Johann Sebastian Bach: His Life, Art, and Work","Forkel, Johann Nikolaus",1749.0,1818.0,['en'],367.0,"{'Composers -- Germany -- Biography', 'Bach, Johann Sebastian, 1685-1750'}",Text,1,1802,53.0,3
1850,PG11666_text.txt,The Conjure Woman,"Chesnutt, Charles W. (Charles Waddell)",1858.0,1932.0,['en'],367.0,"{'Southern States -- Social life and customs -- Fiction', 'African Americans -- Fiction'}",Text,5,1899,41.0,2
20386,PG2834_text.txt,The Portrait of a Lady — Volume 2,"James, Henry",1843.0,1916.0,['en'],366.0,"{'Fathers and daughters -- Fiction', 'Americans -- Italy -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Archer, Isabel (Fictitious character) -- Fiction', 'Married women -- Fiction', 'Psychological fiction', 'Inheritance and succession -- Fiction', 'Italy -- Fiction'}",Text,5,1881,38.0,2
10073,PG19068_text.txt,Household Stories by the Brothers Grimm,"Grimm, Wilhelm",1786.0,1859.0,['en'],362.0,{'Fairy tales -- Germany'},Text,3,1857,71.0,4
52774,PG574_text.txt,Poems of William Blake,"Blake, William",1757.0,1827.0,['en'],360.0,"{'English poetry', 'Pastoral poetry'}",Text,0,1794,37.0,2
36385,PG4274_text.txt,Wives and Daughters,"Gaskell, Elizabeth Cleghorn",1810.0,1865.0,['en'],356.0,"{'Bildungsromans', 'Fathers and daughters -- Fiction', 'Children of physicians -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Young women -- Fiction', 'Stepfamilies -- Fiction', 'Love stories', 'Social classes -- Fiction'}",Text,4,1866,56.0,3
14454,PG2300_text.txt,"The Descent of Man, and Selection in Relation to Sex","Darwin, Charles",1809.0,1882.0,['en'],353.0,"{'Sexual selection in animals', 'Human beings -- Origin', 'Sex differences', 'Sexual dimorphism (Animals)', 'Evolution (Biology)'}",Text,4,1871,62.0,3
55992,PG7097_text.txt,"Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk","Black Hawk, Sauk chief",1767.0,1838.0,['en'],352.0,"{'Black Hawk, Sauk chief, 1767-1838', 'Sauk Indians -- Biography', 'Black Hawk War, 1832'}",Text,2,1838,71.0,4
56297,PG7371_text.txt,A Sicilian Romance,"Radcliffe, Ann Ward",1764.0,1823.0,['en'],351.0,"{'Sicily (Italy) -- Fiction', 'Gothic fiction'}",Text,0,1790,26.0,1
13153,PG2183_text.txt,Three Men on the Bummel,"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,['en'],347.0,"{'British -- Germany -- Fiction', 'Black Forest (Germany) -- Fiction', 'Humorous stories', 'Bicycle touring -- Fiction'}",Text,5,1900,41.0,2
9186,PG1826_text.txt,Sarrasine,"Balzac, Honoré de",1799.0,1850.0,['en'],347.0,"{'French fiction -- Translations into English', 'Autobiographical fiction'}",Text,2,1830,31.0,1
39818,PG4583_text.txt,Dialogues Concerning Natural Religion,"Hume, David",1711.0,1776.0,['en'],341.0,"{'Natural theology -- Early works to 1800', 'Religion -- Early works to 1800'}",Text,0,1779,68.0,4
25397,PG3285_text.txt,The Deerslayer,"Cooper, James Fenimore",1789.0,1851.0,['en'],337.0,"{'Frontier and pioneer life -- Fiction', 'Bildungsromans', 'Scouting (Reconnaissance) -- Fiction', 'New York (State) -- History -- French and Indian War, 1754-1763 -- Fiction', 'Hunters -- Fiction', 'War stories', 'Bumppo, Natty (Fictitious character) -- Fiction', 'Male friendship -- Fiction', 'Historical fiction', 'Delaware Indians -- Fiction'}",Text,2,1823,34.0,1
52040,PG5683_text.txt,The Critique of Practical Reason,"Kant, Immanuel",1724.0,1804.0,['en'],337.0,"{'Practical reason', 'Philosophy, German', 'Ethics'}",Text,0,1788,64.0,3
9919,PG1892_text.txt,"Extracts from Adam's Diary, translated from the original ms.","Twain, Mark",1835.0,1910.0,['en'],336.0,"{'Adam (Biblical figure) -- Fiction', 'Diary fiction', 'Humorous stories', 'Bible. Genesis -- History of Biblical events -- Fiction'}",Text,5,1893,58.0,3
56405,PG7469_text.txt,Daniel Deronda,"Eliot, George",1819.0,1880.0,['en'],336.0,"{'Jews -- England -- Fiction', 'England -- Fiction', 'Zionists -- Fiction', 'Jewish fiction', 'Didactic fiction'}",Text,4,1876,57.0,3
20890,PG28803_text.txt,The Works of Mark Twain: An Index of all Project Gutenberg Editions,"Twain, Mark",1835.0,1910.0,['en'],335.0,{'Indexes'},Text,5,1885,50.0,3
14942,PG2344_text.txt,The Adventure of the Cardboard Box,"Doyle, Arthur Conan",1859.0,1930.0,['en'],334.0,"{'Detective and mystery stories', 'Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction'}",Text,5,1893,34.0,1
23112,PG30802_text.txt,"Commentaries on the Laws of England, Book the First","Blackstone, William, Sir",1723.0,1780.0,['en'],333.0,"{'Law -- England -- History', 'Law -- England'}",Text,0,1770,47.0,2
177,PG1015_text.txt,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",1823.0,1893.0,['en'],333.0,"{'West (U.S.) -- Description and travel', 'Oregon National Historic Trail', 'California National Historic Trail', 'Parkman, Francis, 1823-1893 -- Travel -- West (U.S.)', 'Indians of North America -- West (U.S.)', 'West (U.S.) -- History -- To 1848', 'Frontier and pioneer life -- West (U.S.)'}",Text,3,1846,23.0,0
22355,PG30120_text.txt,"The Happy Prince, and Other Tales","Wilde, Oscar",1854.0,1900.0,['en'],333.0,"{""Children's stories, English"", 'Short stories, English', 'Fairy tales'}",Text,5,1888,34.0,1
2532,PG1227_text.txt,The Expression of the Emotions in Man and Animals,"Darwin, Charles",1809.0,1882.0,['en'],332.0,"{'Psychology, Comparative', 'Emotions', 'Expression', 'Instinct'}",Text,5,1890,81.0,4
55351,PG651_text.txt,Phantasmagoria and Other Poems,"Carroll, Lewis",1832.0,1898.0,['en'],331.0,"{'English poetry -- 19th century', 'Fantasy poetry, English', 'Ghosts -- Poetry'}",Text,4,1869,37.0,2
55284,PG645_text.txt,The Figure in the Carpet,"James, Henry",1843.0,1916.0,['en'],330.0,"{'Short stories, American', 'Women novelists -- Fiction', 'Critics -- Fiction', 'Secrecy -- Fiction', 'Interpersonal relations -- Fiction'}",Text,5,1896,53.0,3
2198,PG1197_text.txt,"Taras Bulba, and Other Tales","Gogol, Nikolai Vasilevich",1809.0,1852.0,['en'],328.0,"{'Short stories', 'Russia -- Fiction'}",Text,3,1842,33.0,1
32519,PG39270_text.txt,"The Life and Opinions of Tristram Shandy, Gentleman","Sterne, Laurence",1713.0,1768.0,['en'],326.0,"{'Stream of consciousness fiction', 'Fetus -- Fiction', 'Fiction -- Authorship -- Fiction', 'Experimental fiction', 'Infants -- Fiction'}",Text,0,1767,54.0,3
25020,PG3251_text.txt,"The Man That Corrupted Hadleyburg, and Other Stories","Twain, Mark",1835.0,1910.0,['en'],326.0,"{'Honesty -- Fiction', 'City and town life -- Fiction', 'Humorous stories, American', 'United States -- Social life and customs -- 19th century -- Fiction', 'Short stories'}",Text,5,1900,65.0,4
8887,PG17_text.txt,The Book of Mormon: An Account Written by the Hand of Mormon Upon Plates Taken from the Plates of Nephi,"Smith, Joseph, Jr.",1805.0,1844.0,['en'],323.0,"{'Mormon Church -- Sacred books', 'Church of Jesus Christ of Latter-day Saints -- Sacred books'}",Text,2,1827,22.0,0
43618,PG4925_text.txt,The Age of Fable,"Bulfinch, Thomas",1796.0,1867.0,['en'],320.0,{'Mythology'},Text,5,1881,85.0,4
3854,PG1346_text.txt,The Eighteenth Brumaire of Louis Bonaparte,"Marx, Karl",1818.0,1883.0,['en'],318.0,"{""France -- History -- Coup d'état, 1851"", 'Napoleon III, Emperor of the French, 1808-1873', 'France -- History -- Second Republic, 1848-1852', 'France -- History -- February Revolution, 1848', 'France -- Politics and government -- 1848-1852'}",Text,4,1869,51.0,3
643,PG1057_text.txt,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",1854.0,1900.0,['en'],318.0,"{'Prisons -- Poetry', 'Poetry'}",Text,5,1899,45.0,2
12898,PG2160_text.txt,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",1721.0,1771.0,['en'],317.0,"{'Great Britain -- Fiction', 'Travelers -- Fiction', 'Epistolary fiction'}",Text,0,1771,50.0,3
