,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timeperiod
54864,PG6081_text.txt,Biographia Literaria,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],1182.0,"{'Aesthetics', 'Poetry', 'Criticism', 'Wordsworth, William, 1770-1850. Lyrical ballads'}",Text,1,1817,45.0,2
38663,PG447_text.txt,Maggie: A Girl of the Streets,"Crane, Stephen",1871.0,1900.0,['en'],1153.0,"{'Poor women -- Fiction', 'Suicide victims -- Fiction', 'Poor families -- Fiction', 'Slums -- Fiction', 'New York (N.Y.) -- Fiction', 'Psychological fiction', 'Prostitutes -- Fiction'}",Text,5,1896,25.0,1
11565,PG2040_text.txt,Confessions of an English Opium-Eater,"De Quincey, Thomas",1785.0,1859.0,['en'],1144.0,"{'De Quincey, Thomas, 1785-1859', 'Drug addicts -- Great Britain -- Biography', 'Authors, English -- 19th century -- Biography', 'Opium abuse -- England'}",Text,3,1856,71.0,4
57184,PG816_text.txt,Democracy in America — Volume 2,"Tocqueville, Alexis de",1805.0,1859.0,['en'],1072.0,"{'United States -- Social conditions', 'Democracy -- United States', 'United States -- Politics and government'}",Text,2,1840,35.0,2
44553,PG500_text.txt,The Adventures of Pinocchio,"Collodi, Carlo",1826.0,1890.0,['en'],1053.0,"{'Puppets -- Juvenile fiction', 'Pinocchio (Fictitious character) -- Juvenile fiction', 'Fairy tales'}",Text,5,1883,57.0,3
40367,PG46333_text.txt,The Social Contract & Discourses,"Rousseau, Jean-Jacques",1712.0,1778.0,['en'],1038.0,"{'Economics', 'Social contract', 'Political science -- Early works to 1800'}",Text,0,1754,42.0,2
58628,PG946_text.txt,Lady Susan,"Austen, Jane",1775.0,1817.0,['en'],1035.0,"{'Mate selection -- Fiction', 'Mothers and daughters -- Fiction', 'Widows -- Fiction', 'England -- Fiction', 'Epistolary fiction'}",Text,4,1871,96.0,4
4888,PG143_text.txt,The Mayor of Casterbridge,"Hardy, Thomas",1840.0,1928.0,['en'],1029.0,"{'Fathers and daughters -- Fiction', 'Atonement -- Fiction', 'Men -- England -- Fiction', 'Runaway husbands -- Fiction', 'Wessex (England) -- Fiction', 'Psychological fiction', 'Mayors -- Fiction'}",Text,5,1886,46.0,2
58883,PG969_text.txt,The Tenant of Wildfell Hall,"Brontë, Anne",1820.0,1849.0,['en'],1018.0,"{'England -- Social life and customs -- 19th century -- Fiction', 'Landlord and tenant -- Fiction', 'England -- Fiction', 'Domestic fiction', 'Alcoholics -- Fiction', 'Married women -- Fiction'}",Text,3,1854,34.0,1
11443,PG202_text.txt,My Bondage and My Freedom,"Douglass, Frederick",1818.0,1895.0,['en'],1014.0,"{'Antislavery movements -- United States -- History -- 19th century', 'Fugitive slaves -- Maryland -- Biography', 'African American abolitionists -- Biography', 'Slaves -- Maryland -- Social conditions -- 19th century', 'Plantation life -- Maryland -- History -- 19th century', 'Douglass, Frederick, 1818-1895', 'Abolitionists -- United States -- Biography'}",Text,3,1855,37.0,2
36897,PG4320_text.txt,An Enquiry Concerning the Principles of Morals,"Hume, David",1711.0,1776.0,['en'],1008.0,"{'Conduct of life', 'Ethics'}",Text,0,1776,65.0,4
15875,PG2428_text.txt,An Essay on Man; Moral Essays and Satires,"Pope, Alexander",1688.0,1744.0,['en'],1004.0,{'English poetry -- 18th century'},Text,0,1759,71.0,4
2221,PG119_text.txt,A Tramp Abroad,"Twain, Mark",1835.0,1910.0,['en'],1001.0,"{'Europe -- Fiction', 'Walking -- Fiction', 'Americans -- Europe -- Fiction', 'Humorous stories'}",Text,4,1880,45.0,2
57159,PG8147_text.txt,The Man Who Would Be King,"Kipling, Rudyard",1865.0,1936.0,['en'],979.0,"{'Kings and rulers -- Fiction', 'British -- Afghanistan -- Fiction', 'Political fiction', 'Afghanistan -- Fiction'}",Text,5,1895,30.0,1
51762,PG5658_text.txt,Lord Jim,"Conrad, Joseph",1857.0,1924.0,['en'],971.0,"{'Atonement -- Fiction', 'Merchant marine -- Officers -- Fiction', 'British -- Indonesia -- Fiction', 'Indonesia -- Fiction', 'Psychological fiction', 'Cowardice -- Fiction'}",Text,5,1900,43.0,2
58817,PG963_text.txt,Little Dorrit,"Dickens, Charles",1812.0,1870.0,['en'],968.0,"{'Fathers and daughters -- Fiction', 'Domestic fiction', 'London (England) -- Fiction', 'Debt, Imprisonment for -- Fiction', 'Love stories', 'Inheritance and succession -- Fiction', 'Marshalsea Prison (Southwark, London, England) -- Fiction', 'Children of prisoners -- Fiction'}",Text,3,1857,45.0,2
20375,PG2833_text.txt,The Portrait of a Lady — Volume 1,"James, Henry",1843.0,1916.0,['en'],939.0,"{'Fathers and daughters -- Fiction', 'Americans -- Italy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Love stories', 'Archer, Isabel (Fictitious character) -- Fiction', 'Married women -- Fiction', 'Psychological fiction', 'Inheritance and succession -- Fiction', 'Italy -- Fiction'}",Text,5,1881,38.0,2
52452,PG5720_text.txt,A Shropshire Lad,"Housman, A. E. (Alfred Edward)",1859.0,1936.0,['en'],928.0,{'Shropshire (England) -- Poetry'},Text,5,1896,37.0,2
1021,PG1091_text.txt,"On Heroes, Hero-Worship, and the Heroic in History","Carlyle, Thomas",1795.0,1881.0,['en'],926.0,"{'Heroes', 'Hero worship'}",Text,3,1841,46.0,2
5024,PG14522_text.txt,The Canterville Ghost,"Wilde, Oscar",1854.0,1900.0,['en'],925.0,"{'England -- Fiction', 'Ghosts -- Fiction'}",Text,5,1887,33.0,1
